country,Unnamed: 0,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
IND,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
IRL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
IRN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.17567567567567569,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.12162162162162163,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
IRQ,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ISL,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,1.0,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ISR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
ITA,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
JAM,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.14864864864864866,0.14864864864864866,0.1891891891891892,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.0945945945945946,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
JOR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.16216216216216217,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
JPN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
KAZ,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,0.6486486486486487,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5945945945945946,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
KEN,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.10810810810810811,0.14864864864864866,0.20270270270270271,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.05405405405405406,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
KGZ,0.0,0.0,0.0,0.14864864864864866,0.4189189189189189,0.6486486486486487,0.14864864864864866,0.581081081081081,0.40540540540540543,0.28378378378378377,0.5405405405405406,0.5405405405405406,0.5405405405405406,0.5945945945945946,0.14864864864864866,0.013513513513513514,0.5540540540540541,0.5540540540540541,0.5540540540540541
KHM,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,1.0,0.14864864864864866,0.06756756756756757,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
KOR,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.14864864864864866,0.14864864864864866,0.013513513513513514,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.0945945945945946,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
KWT,0.0,0.0,0.0,0.14864864864864866,0.28378378378378377,0.3783783783783784,0.14864864864864866,0.16216216216216217,0.28378378378378377,0.28378378378378377,0.0,0.0,0.0,0.32432432432432434,0.14864864864864866,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.013513513513513514
