,country,year,gdp_pc_lag1
1162,BOL,2017,6337.798612927752
1163,BOL,2018,6503.38722488086
1164,BOL,2019,6679.438373851693
1165,BOL,2020,6730.809061873835
1166,BOL,2021,6062.06482775822
1167,BOL,2022,6355.615210539723
1188,BIH,1970,4132.0
1189,BIH,1971,4251.0
1190,BIH,1972,4490.0
1191,BIH,1973,4661.0
1192,BIH,1974,4801.0
1193,BIH,1975,5112.0
1194,BIH,1976,5247.0
1195,BIH,1977,5268.0
1196,BIH,1978,5647.0
1197,BIH,1979,5977.0
1198,BIH,1980,6376.0
1199,BIH,1981,6588.0
1200,BIH,1982,6762.0
1201,BIH,1983,6841.0
1202,BIH,1984,6773.0
1203,BIH,1985,6843.0
1204,BIH,1986,6875.0
1205,BIH,1987,7066.0
1206,BIH,1988,6886.0
1207,BIH,1989,6668.0
1208,BIH,1990,6711.0
1209,BIH,1991,5893.0
1210,BIH,1992,5128.93944742336
1211,BIH,1993,3830.2190609441823
1212,BIH,1994,2831.039309133507
1213,BIH,1995,3017.0010565547486
1214,BIH,1996,3237.3074262945097
1215,BIH,1997,4915.325055897521
1216,BIH,1998,5913.08121295309
1217,BIH,1999,6589.637196947814
1218,BIH,2000,7025.973234938385
1219,BIH,2001,7082.035272194738
1220,BIH,2002,7129.386780241823
1221,BIH,2003,7391.592166270746
1222,BIH,2004,7551.408080415123
1223,BIH,2005,7857.378286374016
