,country,year,General government final consumption expenditure (% of GDP),gdp_pc_lag1,rtfpna,"Mortality rate, infant (per 1,000 live births)",fe_etfra,gdppc,pop,v2x_regime,v2x_polyarchy,v2x_liberal,hc,Tax revenue (% of GDP),Population growth rate - Sex: all - Age: all - Variant: estimates,v2x_corr,v2x_execorr,v2x_pubcorr
19362,URY,1973,10.7121836374338,7643.0,0.815329372882843,48.6,0.2175999879837036,7885.0,2834.115,0.0,0.173,0.174,1.9818257093429563,10.4473219540906,0.561,0.165,0.258,0.194
19363,URY,1974,15.0387320808477,7885.0,0.8382246494293213,49.2,0.2175999879837036,8176.0,2838.213,0.0,0.099,0.143,1.996749997138977,12.7103552666726,0.621,0.215,0.321,0.233
19364,URY,1975,14.0146631272911,8176.0,0.873451828956604,49.4,0.2175999879837036,8563.0,2844.0,0.0,0.099,0.143,2.011786699295044,12.2361269118948,0.663,0.215,0.321,0.233
19365,URY,1976,14.3970670806223,8563.0,0.8742369413375854,48.6,0.2175999879837036,8853.0,2861.0,0.0,0.093,0.143,2.0377519130706787,15.5233345443736,0.661,0.215,0.321,0.233
19366,URY,1977,12.735688694788,8853.0,0.8501770496368408,46.5,0.2175999879837036,8950.0,2879.0,0.0,0.093,0.136,2.064052104949951,15.8476947618923,0.586,0.215,0.321,0.233
19367,URY,1978,12.835025578085,8950.0,0.8574342727661133,43.3,0.2175999879837036,9483.0,2897.0,0.0,0.093,0.136,2.0906920433044434,16.0230726836872,0.529,0.215,0.321,0.233
19368,URY,1979,11.9825541629285,9483.0,0.8675050139427185,39.5,0.2175999879837036,9966.0,2914.0,0.0,0.094,0.136,2.117675542831421,14.4470007195075,0.439,0.215,0.321,0.233
19369,URY,1980,12.4528220033838,9966.0,0.882089376449585,35.5,0.2175999879837036,10546.0,2930.0,0.0,0.105,0.138,2.145007610321045,15.8257776235304,0.379,0.215,0.321,0.233
19370,URY,1981,14.443093385214,10546.0,0.8633724451065063,32.1,0.2175999879837036,10643.0,2848.0,0.0,0.105,0.138,2.171497344970703,16.7390648061183,0.384,0.215,0.321,0.233
19371,URY,1982,15.7043238775464,10643.0,0.7619922161102295,29.5,0.2175999879837036,9578.0,2968.0,0.0,0.111,0.138,2.1983141899108887,14.0055537773472,0.44,0.215,0.321,0.233
19372,URY,1983,14.5306308617692,9578.0,0.70216965675354,27.6,0.2175999879837036,8950.0,2989.0,0.0,0.111,0.138,2.2254621982574463,15.1212976424642,0.451,0.215,0.321,0.233
