,year,"Exports of goods, Free on board (FOB), US dollar","Imports of goods, Cost insurance freight (CIF), US dollar",export_share,country
378,1974,1229.332,625.125,0.662906716089939,AGO
379,1981,1355.40125883738,1598.2208,0.4588946154373252,AGO
380,1982,1270.07636363636,975.092250456588,0.5656930867748983,AGO
381,1983,1741.33203303178,800.698162930042,0.6850162660530145,AGO
382,1984,1918.28035446573,1012.897682664,0.6544400681796011,AGO
383,1985,2177.05943620055,1425.71390295291,0.6042732171189241,AGO
384,1986,1555.46968030446,1057.64166207814,0.5952557991219017,AGO
385,1987,2219.85706873128,1204.75566593884,0.6482067435707035,AGO
386,1988,2487.61479690237,1396.32285509875,0.6404878295666453,AGO
387,1989,2880.97757822474,1468.58380955474,0.662360482213018,AGO
388,1990,3748.11004797406,1722.85701259066,0.6850909549411864,AGO
389,1991,3097.25212776411,1846.69806643221,0.6264731654052583,AGO
390,1992,3526.51910083526,2632.45737755018,0.5725820050151788,AGO
391,1993,2883.45414955174,1450.83135213298,0.6652663163123316,AGO
392,1994,2933.63023803977,1450.54646825157,0.6691405101965847,AGO
393,1995,3411.51137110326,1891.13335229813,0.6433603511183266,AGO
394,1996,4543.80498958473,2078.38433181265,0.6861484577166875,AGO
395,1997,4310.24564640662,2524.42179775115,0.6306445312260205,AGO
396,1998,3477.23798816366,2230.34757395817,0.6092309874844829,AGO
397,1999,4393.55927802689,2238.87355940512,0.6624355475159275,AGO
398,2000,13069.601077,3924.20371,0.7690803349111108,AGO
399,2001,12665.107884,3972.48353,0.7612344580924567,AGO
400,2002,13957.270218,4382.2999,0.7610467490893452,AGO
401,2003,13570.514469,5647.541592,0.7061335665754045,AGO
402,2004,16966.122869,5506.850501,0.7549567469184431,AGO
403,2005,31784.878933,8716.717067,0.7847808993255476,AGO
404,2006,42781.413778,12219.099411,0.7778366291054208,AGO
405,2007,54844.10134,11131.816798,0.831274545134546,AGO
406,2008,79635.838372,26024.69976,0.7536951806218537,AGO
407,2009,48788.875667,25838.218526,0.6537689319755985,AGO
408,2010,63591.019844,19810.374017,0.7624695092024872,AGO
409,2011,84450.235477,22538.043445,0.78934100378013,AGO
410,2012,79017.26174,31138.837846,0.7173208023611113,AGO
411,2013,74295.087909,28434.115337,0.7232129283733431,AGO
412,2014,62561.02556,31046.688231,0.6683319464428047,AGO
413,2015,35821.781205,23269.159851,0.6062144309235488,AGO
414,2016,30146.284032,16046.25657,0.6526223420301492,AGO
415,2017,36178.713899,16511.489866,0.6866307456383777,AGO
416,2018,40527.511425,13839.45919,0.7454436207600345,AGO
417,2019,34819.146165,14160.053253,0.7108965964887507,AGO
418,2020,21043.807025,9340.096972,0.6925972063062663,AGO
419,2021,35116.234676,11524.419393,0.752910424970653,AGO
420,2022,51443.395442,16226.3188,0.7602129847634417,AGO
421,2000,6.832005,156.761873,0.04176198451631545,"['AIA', 'GBR']"
422,2001,4.442878,132.080102,0.032543078095716924,"['AIA', 'GBR']"
423,2002,7.300996,115.610305,0.059400526563460586,"['AIA', 'GBR']"
424,2003,6.548385,127.424864,0.0488783025632229,"['AIA', 'GBR']"
425,2004,8.411575,211.93378,0.03817450565272864,"['AIA', 'GBR']"
426,2005,11.667136,268.690357,0.041615210191653415,"['AIA', 'GBR']"
427,2006,13.605365,273.9772,0.047309422252353864,"['AIA', 'GBR']"
428,2007,12.550262,401.560571,0.030306529073582583,"['AIA', 'GBR']"
429,2008,13.900001,433.284113,0.031083396222791583,"['AIA', 'GBR']"
430,2009,15.654252,1283.132732,0.012052978812420866,"['AIA', 'GBR']"
431,2010,12.654878,1145.610614,0.01092571443024567,"['AIA', 'GBR']"
432,2011,11.658983,1129.024233,0.010221052467909721,"['AIA', 'GBR']"
433,2012,10.644907,1143.442392,0.009223658391547726,"['AIA', 'GBR']"
434,2013,9.986623,1243.50333,0.007967054682886636,"['AIA', 'GBR']"
435,2014,14.561408,1141.068797,0.012600404469351855,"['AIA', 'GBR']"
436,2015,11.181191,1136.791686,0.009739943533526533,"['AIA', 'GBR']"
437,2016,12.37596,1163.657424,0.010523476772322645,"['AIA', 'GBR']"
438,2017,31.407908,1313.728926,0.02334922901977421,"['AIA', 'GBR']"
439,2018,49.124998,1435.911816,0.0330799866622027,"['AIA', 'GBR']"
440,2019,132.20731,1467.312658,0.08265436671310127,"['AIA', 'GBR']"
441,2020,70.407316,1425.586468,0.04706390945806229,"['AIA', 'GBR']"
442,2021,66.730166,1561.977532,0.04097123509758225,"['AIA', 'GBR']"
443,2022,64.564013,1632.469123,0.03804522824591446,"['AIA', 'GBR']"
444,2000,260.200578,874.032008,0.22940672064239212,ATG
445,2001,210.690169,514.18961,0.2906553267228054,ATG
446,2002,594.700158,590.814623,0.5016387543463282,ATG
447,2003,234.088556,481.557302,0.32710111206987524,ATG
448,2004,185.33928,504.698549,0.26859292666402496,ATG
449,2005,150.661431,781.640998,0.16160145711687296,ATG
