,year,General government final consumption expenditure (% of GDP),country
1006,1964,16.1284723527624,MDG
1007,1964,..,MWI
1008,1964,16.8315622328081,MYS
1009,1964,..,MDV
1010,1964,..,MLI
1011,1964,..,MLT
1012,1964,..,MHL
1013,1964,..,MRT
1014,1964,..,MUS
1015,1964,6.39800796812749,MEX
1016,1964,..,FSM
1017,1964,..,MDA
1018,1964,..,MCO
1019,1964,..,MNG
1020,1964,..,MNE
1021,1964,13.0640506251311,MAR
1022,1964,..,MOZ
1023,1964,..,MMR
1024,1964,..,NAM
1025,1964,..,NRU
1026,1964,..,NPL
1027,1964,..,NLD
1028,1964,..,NCL
1029,1964,..,NZL
1030,1964,7.13769969776472,NIC
1031,1964,7.38540020028478,NER
1032,1964,..,NGA
1033,1964,..,MKD
1034,1964,..,MNP
1035,1964,..,NOR
1036,1964,..,OMN
1037,1964,11.2240781086097,PAK
1038,1964,..,PLW
1039,1964,10.0611811695737,PAN
1040,1964,32.7586206896552,PNG
1041,1964,6.81023089481458,PRY
1042,1964,9.80227080530605,PER
1043,1964,..,PHL
1044,1964,..,POL
1045,1964,..,PRT
1046,1964,13.8494456331453,PRI
1047,1964,..,QAT
1048,1964,..,ROU
1049,1964,..,RUS
1050,1964,10.7692297278106,RWA
1051,1964,..,WSM
1052,1964,..,SMR
1053,1964,..,STP
1054,1964,..,SAU
1055,1964,5.26916958057249,SEN
1056,1964,..,SRB
1057,1964,..,SYC
1058,1964,8.12576041744447,SLE
1059,1964,10.3244191144235,SGP
1060,1964,..,SXM
1061,1964,..,SVK
1062,1964,..,SVN
1063,1964,..,SLB
1064,1964,8.72216146440429,SOM
1065,1964,9.73067915690867,ZAF
1066,1964,..,SSD
1067,1964,..,ESP
1068,1964,13.85840626203,LKA
1069,1964,..,KNA
1070,1964,..,LCA
1071,1964,..,MAF
1072,1964,..,VCT
1073,1964,14.3359536615639,SDN
1074,1964,..,SUR
1075,1964,16.2012797491576,SWE
1076,1964,..,CHE
1077,1964,12.9738403849026,SYR
1078,1964,..,TJK
1079,1964,..,TZA
1080,1964,9.24420721607216,THA
1081,1964,..,TLS
1082,1964,8.85416666735535,TGO
1083,1964,..,TON
1084,1964,..,TTO
1085,1964,..,TUN
